"","Pop.size","Tirm.est","Part.est","Cond.est","Partitioned","Samples","No.classes","Alpha.1","Alpha.2","N.class.1","N.class2","N.class3","Capture.sd"
"1",50,43,47,43,0,100,3,2,4,17,17,16,0
"2",50,54,59,54,0,100,3,2,4,17,17,16,0
"3",50,57,63,57,0,100,3,2,4,17,17,16,0
"4",50,49,55,49,0,100,3,2,4,17,17,16,0
"5",50,51,59,51,0,100,3,2,4,17,17,16,0
"6",50,52,57,52,0,100,3,2,4,17,17,16,0
"7",50,60,66,60,0,100,3,2,4,17,17,16,0
"8",50,54,62,62,1,100,3,2,4,17,17,16,0
"9",50,59,65,59,0,100,3,2,4,17,17,16,0
"10",50,56,63,63,1,100,3,2,4,17,17,16,0
"11",50,46,50,50,1,100,3,2,4,17,17,16,0
"12",50,60,68,68,1,100,3,2,4,17,17,16,0
"13",50,51,54,51,0,100,3,2,4,17,17,16,0
"14",50,46,48,46,0,100,3,2,4,17,17,16,0
"15",50,60,69,60,0,100,3,2,4,17,17,16,0
"16",50,47,61,47,0,100,3,2,4,17,17,16,0
"17",50,51,56,51,0,100,3,2,4,17,17,16,0
"18",50,51,54,51,0,100,3,2,4,17,17,16,0
"19",50,55,57,55,0,100,3,2,4,17,17,16,0
"20",50,57,63,57,0,100,3,2,4,17,17,16,0
"21",50,58,63,63,1,100,3,2,4,17,17,16,0
"22",50,48,50,48,0,100,3,2,4,17,17,16,0
"23",50,46,48,46,0,100,3,2,4,17,17,16,0
"24",50,57,66,57,0,100,3,2,4,17,17,16,0
"25",50,49,53,49,0,100,3,2,4,17,17,16,0
"26",50,51,51,51,0,100,3,2,4,17,17,16,0
"27",50,64,78,64,0,100,3,2,4,17,17,16,0
"28",50,49,53,49,0,100,3,2,4,17,17,16,0
"29",50,50,55,50,0,100,3,2,4,17,17,16,0
"30",50,36,37,36,0,100,3,2,4,17,17,16,0
"31",50,51,55,51,0,100,3,2,4,17,17,16,0
"32",50,52,56,52,0,100,3,2,4,17,17,16,0
"33",50,50,54,54,1,100,3,2,4,17,17,16,0
"34",50,47,51,47,0,100,3,2,4,17,17,16,0
"35",50,60,67,60,0,100,3,2,4,17,17,16,0
"36",50,59,68,59,0,100,3,2,4,17,17,16,0
"37",50,61,68,61,0,100,3,2,4,17,17,16,0
"38",50,46,46,46,0,100,3,2,4,17,17,16,0
"39",50,57,60,60,1,100,3,2,4,17,17,16,0
"40",50,60,67,67,1,100,3,2,4,17,17,16,0
"41",50,52,56,52,0,100,3,2,4,17,17,16,0
"42",50,62,76,62,0,100,3,2,4,17,17,16,0
"43",50,53,58,53,0,100,3,2,4,17,17,16,0
"44",50,49,49,49,0,100,3,2,4,17,17,16,0
"45",50,50,53,50,0,100,3,2,4,17,17,16,0
"46",50,53,57,57,1,100,3,2,4,17,17,16,0
